texte,individu,lieu,moment
"À cet instant précis, Alfred Poirier laissa tomber un trousseau de clés sans s’en apercevoir dans un arrêt de bus.",Alfred Poirier,un arrêt de bus,au lever du jour
"Nul ne sut pourquoi poussa un cri bref avant de disparaître entre deux voitures, .",,,
s’effaça dans l’ombre d’un porche sans prononcer un mot sans attirer l’attention dans la gare centrale.,,la gare centrale,le Wednesday 01 July 2020 à 07h06
"Amélie Brunet déploya un petit tapis sur le sol et s’assit en tailleur sans attirer l’attention à 23, rue de Jacquot, 32543 Saint Christiane-la-Forêt.",Amélie Brunet,"23, rue de Jacquot, 32543 Saint Christiane-la-Forêt",au lever du jour
"jeta un coup d’œil inquiet derrière lui, puis pressa le pas.",,,le Friday 18 October 2019 à 23h14
"À cet instant précis, une silhouette encapuchonnée jeta un coup d’œil inquiet derrière lui, puis pressa le pas à 71, chemin de Sanchez, 75539 Vidal.",une silhouette encapuchonnée,"71, chemin de Sanchez, 75539 Vidal",le Monday 25 January 2016 à 18h45
"Sans dire un mot, une passante inconnue tourna plusieurs fois sur lui-même avant de fixer longuement un arbre à 94, rue de Paris, 37460 Brunet.",une passante inconnue,"94, rue de Paris, 37460 Brunet",le Wednesday 15 May 2024 à 14h33
"Océane Louis s’accroupit pour observer quelque chose au sol, l’air perplexe. C’était en pleine nuit.",Océane Louis,la cour d’une école,en pleine nuit
le chauffeur du bus 38 déploya un petit tapis sur le sol et s’assit en tailleur sans attirer l’attention .,le chauffeur du bus 38,,vers l’heure bleue
"à 92, rue René Georges, 52763 Bonninboeuf, le Saturday 07 January 2023 à 15h09, jeta un coup d’œil inquiet derrière lui, puis pressa le pas.",,"92, rue René Georges, 52763 Bonninboeuf",le Saturday 07 January 2023 à 15h09
"Sans dire un mot, Arthur Bigot jeta un coup d’œil inquiet derrière lui, puis pressa le pas à 415, rue Olivier Marin, 60507 Perrin-sur-Dijoux.",Arthur Bigot,"415, rue Olivier Marin, 60507 Perrin-sur-Dijoux",
"le Friday 20 September 2024 à 04h15, le livreur en retard s’effaça dans l’ombre d’un porche sans prononcer un mot.",le livreur en retard,,le Friday 20 September 2024 à 04h15
"la vieille dame au chapeau rouge à rue de Lebrun, 89218 Regnierboeuf, à la sortie des bureaux, s’effaça dans l’ombre d’un porche sans prononcer un mot.",la vieille dame au chapeau rouge,"rue de Lebrun, 89218 Regnierboeuf",à la sortie des bureaux
"au lever du jour, Franck Petitjean Le Navarro laissa tomber un trousseau de clés sans s’en apercevoir.",Franck Petitjean Le Navarro,"rue Frédéric Blanc, 93195 Bouvier",au lever du jour
"le chauffeur du bus 38 à 540, chemin Sabine Antoine, 90782 Dumas-sur-Mer, le Tuesday 28 August 2018 à 05h24, ouvrit un sac en plastique et en sortit une petite boîte en métal.",le chauffeur du bus 38,"540, chemin Sabine Antoine, 90782 Dumas-sur-Mer",le Tuesday 28 August 2018 à 05h24
"Sans dire un mot, le pharmacien de garde tapota un lampadaire de la paume comme pour vérifier sa solidité à 8, avenue Hamon, 77121 Morin.",le pharmacien de garde,"8, avenue Hamon, 77121 Morin",le Saturday 24 September 2016 à 10h49
"Dans le silence, le gardien du stade jeta un coup d’œil inquiet derrière lui, puis pressa le pas dans un arrêt de bus.",le gardien du stade,un arrêt de bus,tard dans la soirée
"Rémy-Georges Marques fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement.",Rémy-Georges Marques,une route de campagne,le Friday 28 March 2025 à 01h20
Marc Laporte poussa un cri bref avant de disparaître entre deux voitures. C’était le Tuesday 17 May 2016 à 01h06.,Marc Laporte,"934, rue Guichard, 03771 Sainte Virginie",le Tuesday 17 May 2016 à 01h06
"À cet instant précis, une silhouette encapuchonnée tapota un lampadaire de la paume comme pour vérifier sa solidité dans la cour d’une école.",une silhouette encapuchonnée,la cour d’une école,
"Luc Maillard dans la gare centrale, tard dans la soirée, tapota un lampadaire de la paume comme pour vérifier sa solidité.",Luc Maillard,la gare centrale,tard dans la soirée
"Renée Morel-Vallet s’accroupit pour observer quelque chose au sol, l’air perplexe sans attirer l’attention .",Renée Morel-Vallet,,vers l’heure bleue
"Sans dire un mot, la responsable du centre d'accueil jeta un coup d’œil inquiet derrière lui, puis pressa le pas dans la plage.",la responsable du centre d'accueil,la plage,le Thursday 20 December 2018 à 20h57
"le Saturday 27 April 2024 à 11h46, Sophie Leclercq ouvrit un sac en plastique et en sortit une petite boîte en métal.",Sophie Leclercq,"avenue de Bigot, 09004 Hoareau",le Saturday 27 April 2024 à 11h46
"Nul ne sut pourquoi le livreur en retard s’accroupit pour observer quelque chose au sol, l’air perplexe, tard dans la soirée.",le livreur en retard,,tard dans la soirée
poussa un cri bref avant de disparaître entre deux voitures. C’était un matin d'hiver.,,,un matin d'hiver
"Geneviève-Jeannine Ribeiro à 38, avenue de Thierry, 14743 De Sousa-sur-Jacquet, le Thursday 23 March 2017 à 08h39, jeta un coup d’œil inquiet derrière lui, puis pressa le pas.",Geneviève-Jeannine Ribeiro,"38, avenue de Thierry, 14743 De Sousa-sur-Jacquet",le Thursday 23 March 2017 à 08h39
poussa un cri bref avant de disparaître entre deux voitures. C’était le Thursday 08 September 2016 à 05h25.,,"14, boulevard Adam, 40830 Lebreton",le Thursday 08 September 2016 à 05h25
Camille Leclercq-Lévy déploya un petit tapis sur le sol et s’assit en tailleur. C’était .,Camille Leclercq-Lévy,une route de campagne,
"au lever du jour, une silhouette encapuchonnée fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement.",une silhouette encapuchonnée,"3, chemin de Rousseau, 64801 Baron-la-Forêt",au lever du jour
Emmanuel Prévost de la Weber laissa tomber un trousseau de clés sans s’en apercevoir. C’était le Friday 06 October 2023 à 14h00.,Emmanuel Prévost de la Weber,un arrêt de bus,le Friday 06 October 2023 à 14h00
"Dans le silence, une passante inconnue tourna plusieurs fois sur lui-même avant de fixer longuement un arbre à avenue de Royer, 05444 GrenierBourg.",une passante inconnue,"avenue de Royer, 05444 GrenierBourg",
Luc Dos Santos de Rémy ouvrit un sac en plastique et en sortit une petite boîte en métal. C’était le Wednesday 18 September 2024 à 17h13.,Luc Dos Santos de Rémy,un arrêt de bus,le Wednesday 18 September 2024 à 17h13
"poussa un cri bref avant de disparaître entre deux voitures, ce fut tout ce qu’on vit de le pharmacien de garde.",le pharmacien de garde,"54, rue Patricia Gilbert, 92823 Gosselin",tard dans la soirée
"Sans dire un mot, le gardien du stade tapota un lampadaire de la paume comme pour vérifier sa solidité dans la cour d’une école.",le gardien du stade,la cour d’une école,le Tuesday 08 October 2019 à 23h21
"À cet instant précis, Anastasie Cohen tapota un lampadaire de la paume comme pour vérifier sa solidité à 82, boulevard de Ledoux, 24013 Lemonnier.",Anastasie Cohen,"82, boulevard de Ledoux, 24013 Lemonnier",vers l’heure bleue
"Laure Fischer à 2, rue de Gautier, 07568 Sainte Hugues-sur-Mer, le Sunday 04 April 2021 à 16h10, poussa un cri bref avant de disparaître entre deux voitures.",Laure Fischer,"2, rue de Gautier, 07568 Sainte Hugues-sur-Mer",le Sunday 04 April 2021 à 16h10
"le Wednesday 07 October 2015 à 21h02, un homme à la veste usée s’accroupit pour observer quelque chose au sol, l’air perplexe.",un homme à la veste usée,"37, rue de Hebert, 90814 Nicolas",le Wednesday 07 October 2015 à 21h02
Louis Alves tourna plusieurs fois sur lui-même avant de fixer longuement un arbre sans attirer l’attention dans un café du coin.,Louis Alves,un café du coin,pendant la pause déjeuner
ouvrit un sac en plastique et en sortit une petite boîte en métal. C’était tard dans la soirée.,,"12, avenue de Cohen, 36462 Marques",tard dans la soirée
"Nul ne sut pourquoi Margaret Benard fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement, le Wednesday 11 May 2022 à 07h25.",Margaret Benard,la cour d’une école,le Wednesday 11 May 2022 à 07h25
Jules Chauvin tourna plusieurs fois sur lui-même avant de fixer longuement un arbre sans attirer l’attention .,Jules Chauvin,,pendant la pause déjeuner
"À cet instant précis, s’accroupit pour observer quelque chose au sol, l’air perplexe à 75, boulevard Lemonnier, 81670 Nguyen.",,"75, boulevard Lemonnier, 81670 Nguyen",tard dans la soirée
"Dans le silence, la vieille dame au chapeau rouge tourna plusieurs fois sur lui-même avant de fixer longuement un arbre à 450, chemin Amélie Fischer, 12418 Guillot-sur-Paul.",la vieille dame au chapeau rouge,"450, chemin Amélie Fischer, 12418 Guillot-sur-Paul",le Thursday 25 May 2017 à 09h05
"la responsable du centre d'accueil à avenue de Rodriguez, 11127 Saint Éliseboeuf, , laissa tomber un trousseau de clés sans s’en apercevoir.",la responsable du centre d'accueil,"avenue de Rodriguez, 11127 Saint Éliseboeuf",
"laissa tomber un trousseau de clés sans s’en apercevoir, ce fut tout ce qu’on vit de François Moreno.",François Moreno,"82, avenue Carre, 31830 Mercierdan",tard dans la soirée
"Nul ne sut pourquoi Aimé Valentin déploya un petit tapis sur le sol et s’assit en tailleur, à la sortie des bureaux.",Aimé Valentin,le bord d’un canal,à la sortie des bureaux
"À cet instant précis, jeta un coup d’œil inquiet derrière lui, puis pressa le pas dans le vieux marché.",,le vieux marché,vers l’heure bleue
"le livreur en retard jeta un coup d’œil inquiet derrière lui, puis pressa le pas.",le livreur en retard,"38, avenue de Thierry, 14743 De Sousa-sur-Jacquet",le Saturday 04 June 2022 à 19h13
Richard Le Roux tourna plusieurs fois sur lui-même avant de fixer longuement un arbre. C’était le Tuesday 06 March 2018 à 15h36.,Richard Le Roux,,le Tuesday 06 March 2018 à 15h36
"fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement, ce fut tout ce qu’on vit de un agent municipal.",un agent municipal,une route de campagne,
"le Friday 12 August 2022 à 21h30, tapota un lampadaire de la paume comme pour vérifier sa solidité.",,un café du coin,le Friday 12 August 2022 à 21h30
"Dans le silence, tourna plusieurs fois sur lui-même avant de fixer longuement un arbre dans un arrêt de bus.",,un arrêt de bus,
"Dans le silence, le pharmacien de garde tapota un lampadaire de la paume comme pour vérifier sa solidité à 1, avenue Barre, 96170 Sainte Jacquelineboeuf.",le pharmacien de garde,"1, avenue Barre, 96170 Sainte Jacquelineboeuf",
la responsable du centre d'accueil ouvrit un sac en plastique et en sortit une petite boîte en métal. C’était le Wednesday 05 February 2025 à 01h01.,la responsable du centre d'accueil,"2, avenue Toussaint, 39660 Marty",le Wednesday 05 February 2025 à 01h01
Catherine Dupont tapota un lampadaire de la paume comme pour vérifier sa solidité sans attirer l’attention dans un arrêt de bus.,Catherine Dupont,un arrêt de bus,le Friday 16 June 2017 à 18h53
"Sans dire un mot, Marcelle Foucher ouvrit un sac en plastique et en sortit une petite boîte en métal dans le bord d’un canal.",Marcelle Foucher,le bord d’un canal,
"le Tuesday 20 September 2016 à 06h25, le chauffeur du bus 38 s’accroupit pour observer quelque chose au sol, l’air perplexe.",le chauffeur du bus 38,,le Tuesday 20 September 2016 à 06h25
"Dans le silence, une passante inconnue laissa tomber un trousseau de clés sans s’en apercevoir à 37, avenue Marc Rossi, 64609 Sainte Gabrielleboeuf.",une passante inconnue,"37, avenue Marc Rossi, 64609 Sainte Gabrielleboeuf",pendant la pause déjeuner
"le Sunday 18 September 2016 à 08h05, Xavier Brunel poussa un cri bref avant de disparaître entre deux voitures.",Xavier Brunel,une route de campagne,le Sunday 18 September 2016 à 08h05
"un dimanche pluvieux, laissa tomber un trousseau de clés sans s’en apercevoir.",,"avenue de Joly, 62925 Saint Noémi",un dimanche pluvieux
"Dans le silence, Gabriel Roussel tapota un lampadaire de la paume comme pour vérifier sa solidité .",Gabriel Roussel,,le Wednesday 08 May 2024 à 05h56
"à la sortie des bureaux, Benoît Pinto s’accroupit pour observer quelque chose au sol, l’air perplexe.",Benoît Pinto,"avenue de Joly, 62925 Saint Noémi",à la sortie des bureaux
"Nath de Brunel jeta un coup d’œil inquiet derrière lui, puis pressa le pas.",Nath de Brunel,,juste après le coucher du soleil
"À cet instant précis, David Boulanger déploya un petit tapis sur le sol et s’assit en tailleur dans un café du coin.",David Boulanger,un café du coin,
"le gardien du stade à 183, chemin Élodie Brun, 73651 Saint Hortense-la-Forêt, le Tuesday 25 October 2022 à 14h48, jeta un coup d’œil inquiet derrière lui, puis pressa le pas.",le gardien du stade,"183, chemin Élodie Brun, 73651 Saint Hortense-la-Forêt",le Tuesday 25 October 2022 à 14h48
"À cet instant précis, Matthieu Normand du Vincent jeta un coup d’œil inquiet derrière lui, puis pressa le pas .",Matthieu Normand du Vincent,,
", une silhouette encapuchonnée déploya un petit tapis sur le sol et s’assit en tailleur.",une silhouette encapuchonnée,le vieux marché,
"Sans dire un mot, tapota un lampadaire de la paume comme pour vérifier sa solidité à 1, rue Dubois, 15632 Saint Moniqueboeuf.",,"1, rue Dubois, 15632 Saint Moniqueboeuf",
"À cet instant précis, une silhouette encapuchonnée laissa tomber un trousseau de clés sans s’en apercevoir .",une silhouette encapuchonnée,,le Saturday 12 September 2020 à 10h20
"s’effaça dans l’ombre d’un porche sans prononcer un mot, ce fut tout ce qu’on vit de Émile Couturier.",Émile Couturier,la cour d’une école,le Saturday 25 July 2020 à 20h49
"Nul ne sut pourquoi tapota un lampadaire de la paume comme pour vérifier sa solidité, en début d'après-midi.",,,en début d'après-midi
"Sans dire un mot, Luc Wagner ouvrit un sac en plastique et en sortit une petite boîte en métal .",Luc Wagner,,le Friday 13 January 2023 à 07h22
"le Sunday 04 February 2018 à 17h14, jeta un coup d’œil inquiet derrière lui, puis pressa le pas.",,le vieux marché,le Sunday 04 February 2018 à 17h14
"À cet instant précis, le gardien du stade fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement dans un parc désert.",le gardien du stade,un parc désert,
"Sans dire un mot, Michèle Rey Le Royer s’accroupit pour observer quelque chose au sol, l’air perplexe à 6, rue Gomez, 36317 Vallée-sur-Vincent.",Michèle Rey Le Royer,"6, rue Gomez, 36317 Vallée-sur-Vincent",en pleine nuit
"déploya un petit tapis sur le sol et s’assit en tailleur, ce fut tout ce qu’on vit de la vieille dame au chapeau rouge.",la vieille dame au chapeau rouge,"10, avenue Chrétien, 00869 PerrierBourg",le Saturday 28 September 2024 à 20h09
"Dans le silence, Zacharie Schmitt fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement .",Zacharie Schmitt,,en pleine nuit
"le chauffeur du bus 38 déploya un petit tapis sur le sol et s’assit en tailleur sans attirer l’attention à 12, chemin Thierry Chauveau, 42123 Sainte Alexandre.",le chauffeur du bus 38,"12, chemin Thierry Chauveau, 42123 Sainte Alexandre",un dimanche pluvieux
"Dans le silence, Augustin Martineau tourna plusieurs fois sur lui-même avant de fixer longuement un arbre dans une route de campagne.",Augustin Martineau,une route de campagne,
"une silhouette encapuchonnée fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement sans attirer l’attention dans la cour d’une école.",une silhouette encapuchonnée,la cour d’une école,
"à 36, chemin de Lenoir, 73902 Sainte Renée-les-Bains, le Monday 10 June 2019 à 05h11, ouvrit un sac en plastique et en sortit une petite boîte en métal.",,"36, chemin de Lenoir, 73902 Sainte Renée-les-Bains",le Monday 10 June 2019 à 05h11
"Nul ne sut pourquoi une passante inconnue tapota un lampadaire de la paume comme pour vérifier sa solidité, le Monday 25 September 2017 à 00h34.",une passante inconnue,un arrêt de bus,le Monday 25 September 2017 à 00h34
"vers l’heure bleue, laissa tomber un trousseau de clés sans s’en apercevoir.",,"13, avenue Becker, 79246 Blanchard",vers l’heure bleue
"Éric Navarro dans le hall d’un immeuble, le Friday 25 September 2015 à 03h37, fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement.",Éric Navarro,le hall d’un immeuble,le Friday 25 September 2015 à 03h37
"À cet instant précis, jeta un coup d’œil inquiet derrière lui, puis pressa le pas à 85, boulevard Victor Jacquet, 08917 LesageVille.",,"85, boulevard Victor Jacquet, 08917 LesageVille",en pleine nuit
"Nul ne sut pourquoi Martine Lopez fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement, le Saturday 01 October 2022 à 04h34.",Martine Lopez,la plage,le Saturday 01 October 2022 à 04h34
"Édouard Delattre jeta un coup d’œil inquiet derrière lui, puis pressa le pas sans attirer l’attention dans la cour d’une école.",Édouard Delattre,la cour d’une école,
"Sans dire un mot, Augustin Julien poussa un cri bref avant de disparaître entre deux voitures à 72, rue Gomez, 52450 Legros-la-Forêt.",Augustin Julien,"72, rue Gomez, 52450 Legros-la-Forêt",en pleine nuit
"Sans dire un mot, une passante inconnue tourna plusieurs fois sur lui-même avant de fixer longuement un arbre dans le vieux marché.",une passante inconnue,le vieux marché,pendant la pause déjeuner
"laissa tomber un trousseau de clés sans s’en apercevoir, ce fut tout ce qu’on vit de Jean Benoit.",Jean Benoit,"24, rue Alice Girard, 93333 Gilles",en début d'après-midi
"Jérôme Bègue déploya un petit tapis sur le sol et s’assit en tailleur sans attirer l’attention à 4, chemin Bonneau, 01570 Rousseau-sur-Guillou.",Jérôme Bègue,"4, chemin Bonneau, 01570 Rousseau-sur-Guillou",
Josette-Sabine Couturier tourna plusieurs fois sur lui-même avant de fixer longuement un arbre sans attirer l’attention .,Josette-Sabine Couturier,,
Maggie David du Carre laissa tomber un trousseau de clés sans s’en apercevoir. C’était un matin d'hiver.,Maggie David du Carre,,un matin d'hiver
"Nul ne sut pourquoi le gardien du stade ouvrit un sac en plastique et en sortit une petite boîte en métal, le Sunday 04 June 2023 à 01h56.",le gardien du stade,"rue Juliette Delannoy, 22161 Sainte Lucie",le Sunday 04 June 2023 à 01h56
"Nul ne sut pourquoi Paul Roussel ouvrit un sac en plastique et en sortit une petite boîte en métal, le Wednesday 13 March 2024 à 16h49.",Paul Roussel,le bord d’un canal,le Wednesday 13 March 2024 à 16h49
"À cet instant précis, Élisabeth Dumont ouvrit un sac en plastique et en sortit une petite boîte en métal à 13, avenue Margaud Roussel, 99261 FouquetBourg.",Élisabeth Dumont,"13, avenue Margaud Roussel, 99261 FouquetBourg",en début d'après-midi
"Dans le silence, Anaïs Monnier s’accroupit pour observer quelque chose au sol, l’air perplexe à 60, avenue Marcelle Lesage, 94588 Fournierdan.",Anaïs Monnier,"60, avenue Marcelle Lesage, 94588 Fournierdan",le Thursday 18 October 2018 à 20h12
"poussa un cri bref avant de disparaître entre deux voitures, ce fut tout ce qu’on vit de Mathilde-Alix Grondin.",Mathilde-Alix Grondin,le hall d’un immeuble,le Tuesday 06 November 2018 à 02h09
"Nul ne sut pourquoi André Petit tourna plusieurs fois sur lui-même avant de fixer longuement un arbre, vers l’heure bleue.",André Petit,"34, rue Seguin, 24186 Garnier",vers l’heure bleue
", une passante inconnue laissa tomber un trousseau de clés sans s’en apercevoir.",une passante inconnue,la plage,
"une silhouette encapuchonnée jeta un coup d’œil inquiet derrière lui, puis pressa le pas.",une silhouette encapuchonnée,"672, rue de Merle, 75250 Sainte Robert",un dimanche pluvieux
", Louise Labbé tapota un lampadaire de la paume comme pour vérifier sa solidité.",Louise Labbé,le hall d’un immeuble,
"Dans le silence, une passante inconnue jeta un coup d’œil inquiet derrière lui, puis pressa le pas à 814, chemin de Bonnet, 98038 Guilbert.",une passante inconnue,"814, chemin de Bonnet, 98038 Guilbert",
"Sans dire un mot, Gabrielle Bailly de Martins ouvrit un sac en plastique et en sortit une petite boîte en métal dans le bord d’un canal.",Gabrielle Bailly de Martins,le bord d’un canal,le Friday 25 April 2025 à 00h37
Célina-Adélaïde Lopes tapota un lampadaire de la paume comme pour vérifier sa solidité. C’était le Wednesday 01 June 2022 à 14h24.,Célina-Adélaïde Lopes,un arrêt de bus,le Wednesday 01 June 2022 à 14h24
"Dans le silence, Charlotte David tourna plusieurs fois sur lui-même avant de fixer longuement un arbre .",Charlotte David,,un matin d'hiver
"Nul ne sut pourquoi Marcel de Guillou s’effaça dans l’ombre d’un porche sans prononcer un mot, .",Marcel de Guillou,"avenue de Delorme, 90490 Vallée",
"dans la plage, , poussa un cri bref avant de disparaître entre deux voitures.",,la plage,
"Dans le silence, une silhouette encapuchonnée tourna plusieurs fois sur lui-même avant de fixer longuement un arbre à avenue de Petitjean, 68602 Moreno.",une silhouette encapuchonnée,"avenue de Petitjean, 68602 Moreno",le Tuesday 10 November 2020 à 06h23
le livreur en retard déploya un petit tapis sur le sol et s’assit en tailleur. C’était le Sunday 05 May 2024 à 18h24.,le livreur en retard,,le Sunday 05 May 2024 à 18h24
"Sans dire un mot, Lorraine Andre de Allard fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement .",Lorraine Andre de Allard,,le Tuesday 06 March 2018 à 15h36
Thomas Bonneau de Louis déploya un petit tapis sur le sol et s’assit en tailleur sans attirer l’attention dans le bord d’un canal.,Thomas Bonneau de Louis,le bord d’un canal,le Sunday 18 June 2023 à 01h38
Diane Morvan tourna plusieurs fois sur lui-même avant de fixer longuement un arbre.,Diane Morvan,,vers l’heure bleue
"Nul ne sut pourquoi Marie Samson laissa tomber un trousseau de clés sans s’en apercevoir, le Tuesday 26 September 2023 à 05h03.",Marie Samson,le hall d’un immeuble,le Tuesday 26 September 2023 à 05h03
"Nul ne sut pourquoi laissa tomber un trousseau de clés sans s’en apercevoir, le Friday 05 November 2021 à 00h14.",,"97, rue Jeanne Boulay, 10646 Berthelot",le Friday 05 November 2021 à 00h14
"le Wednesday 13 March 2024 à 16h49, une passante inconnue s’effaça dans l’ombre d’un porche sans prononcer un mot.",une passante inconnue,"boulevard Laurent Moreau, 33542 Sainte Constance-la-Forêt",le Wednesday 13 March 2024 à 16h49
"Julien Torres-Duhamel à 52, boulevard Gomes, 33432 Poirier, , s’accroupit pour observer quelque chose au sol, l’air perplexe.",Julien Torres-Duhamel,"52, boulevard Gomes, 33432 Poirier",
"Nul ne sut pourquoi déploya un petit tapis sur le sol et s’assit en tailleur, .",,,
"Claudine Lambert jeta un coup d’œil inquiet derrière lui, puis pressa le pas.",Claudine Lambert,"boulevard Rivière, 59636 Meunier",au lever du jour
Nath Guérin s’effaça dans l’ombre d’un porche sans prononcer un mot. C’était .,Nath Guérin,"64, avenue de Fournier, 33991 Duhamel",
"Dans le silence, Antoine Cordier poussa un cri bref avant de disparaître entre deux voitures à 459, rue Richard, 93928 Monnier.",Antoine Cordier,"459, rue Richard, 93928 Monnier",vers l’heure bleue
"Agathe Weiss ouvrit un sac en plastique et en sortit une petite boîte en métal sans attirer l’attention à 68, avenue Noémi Lefèvre, 95880 Verdier.",Agathe Weiss,"68, avenue Noémi Lefèvre, 95880 Verdier",
"À cet instant précis, Louis Masse tapota un lampadaire de la paume comme pour vérifier sa solidité dans le bord d’un canal.",Louis Masse,le bord d’un canal,pendant la pause déjeuner
"Sans dire un mot, Anne Legrand déploya un petit tapis sur le sol et s’assit en tailleur dans une route de campagne.",Anne Legrand,une route de campagne,le Monday 27 June 2016 à 22h21
"Nul ne sut pourquoi Nath Wagner-Navarro tapota un lampadaire de la paume comme pour vérifier sa solidité, pendant la pause déjeuner.",Nath Wagner-Navarro,"535, boulevard de Gaudin, 71270 Grégoire",pendant la pause déjeuner
"un matin d'hiver, la vieille dame au chapeau rouge fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement.",la vieille dame au chapeau rouge,la cour d’une école,un matin d'hiver
"Nul ne sut pourquoi le gardien du stade laissa tomber un trousseau de clés sans s’en apercevoir, en pleine nuit.",le gardien du stade,le vieux marché,en pleine nuit
"poussa un cri bref avant de disparaître entre deux voitures, ce fut tout ce qu’on vit de Julie Bertrand.",Julie Bertrand,,à la sortie des bureaux
"À cet instant précis, déploya un petit tapis sur le sol et s’assit en tailleur à 20, rue Rodrigues, 28837 Martinez.",,"20, rue Rodrigues, 28837 Martinez",le Thursday 29 April 2021 à 15h03
le pharmacien de garde déploya un petit tapis sur le sol et s’assit en tailleur. C’était .,le pharmacien de garde,la plage,
"Olivier Charrier-Da Costa déploya un petit tapis sur le sol et s’assit en tailleur sans attirer l’attention à 84, chemin Delattre, 73014 Mercierboeuf.",Olivier Charrier-Da Costa,"84, chemin Delattre, 73014 Mercierboeuf",le Monday 29 August 2022 à 14h52
Franck Dupré s’effaça dans l’ombre d’un porche sans prononcer un mot.,Franck Dupré,un parc désert,tard dans la soirée
Roland Le Le Gall tapota un lampadaire de la paume comme pour vérifier sa solidité. C’était en début d'après-midi.,Roland Le Le Gall,la cour d’une école,en début d'après-midi
"Dans le silence, laissa tomber un trousseau de clés sans s’en apercevoir .",,,un matin d'hiver
"en début d'après-midi, Michelle-Hélène Lefebvre ouvrit un sac en plastique et en sortit une petite boîte en métal.",Michelle-Hélène Lefebvre,"4, avenue Élisabeth Rousset, 18723 Carpentier",en début d'après-midi
Louis Marin poussa un cri bref avant de disparaître entre deux voitures. C’était le Tuesday 15 August 2017 à 10h05.,Louis Marin,une route de campagne,le Tuesday 15 August 2017 à 10h05
"À cet instant précis, Michelle Thierry s’effaça dans l’ombre d’un porche sans prononcer un mot .",Michelle Thierry,,le Tuesday 18 February 2020 à 07h20
"À cet instant précis, la vieille dame au chapeau rouge tapota un lampadaire de la paume comme pour vérifier sa solidité dans le hall d’un immeuble.",la vieille dame au chapeau rouge,le hall d’un immeuble,le Wednesday 02 March 2022 à 06h47
"le Wednesday 24 February 2021 à 05h27, Jacques Millet ouvrit un sac en plastique et en sortit une petite boîte en métal.",Jacques Millet,une route de campagne,le Wednesday 24 February 2021 à 05h27
"À cet instant précis, Franck Renard jeta un coup d’œil inquiet derrière lui, puis pressa le pas à rue Cécile Fournier, 49107 Thomas.",Franck Renard,"rue Cécile Fournier, 49107 Thomas",le Saturday 20 January 2018 à 05h52
"le Tuesday 16 February 2016 à 11h28, la vieille dame au chapeau rouge poussa un cri bref avant de disparaître entre deux voitures.",la vieille dame au chapeau rouge,"62, boulevard de Perret, 14417 Sainte Stéphane",le Tuesday 16 February 2016 à 11h28
"Adrienne Legrand dans un café du coin, le Monday 20 January 2020 à 05h47, tapota un lampadaire de la paume comme pour vérifier sa solidité.",Adrienne Legrand,un café du coin,le Monday 20 January 2020 à 05h47
un homme à la veste usée tourna plusieurs fois sur lui-même avant de fixer longuement un arbre. C’était le Saturday 10 October 2015 à 10h21.,un homme à la veste usée,"6, boulevard de Vasseur, 34031 Pottier",le Saturday 10 October 2015 à 10h21
Frédérique Gillet laissa tomber un trousseau de clés sans s’en apercevoir sans attirer l’attention dans un parc désert.,Frédérique Gillet,un parc désert,
"s’accroupit pour observer quelque chose au sol, l’air perplexe, ce fut tout ce qu’on vit de .",,"95, avenue Royer, 79779 François-les-Bains",le Thursday 23 December 2021 à 17h23
"À cet instant précis, Joséphine Dumont fit un geste rapide en direction d’une porte entrouverte, puis recula soudainement dans la plage.",Joséphine Dumont,la plage,
"Dans le silence, une passante inconnue tapota un lampadaire de la paume comme pour vérifier sa solidité .",une passante inconnue,,le Saturday 19 October 2019 à 18h40
"À cet instant précis, Éléonore Renault jeta un coup d’œil inquiet derrière lui, puis pressa le pas .",Éléonore Renault,,
Michel Tanguy laissa tomber un trousseau de clés sans s’en apercevoir.,Michel Tanguy,"7, rue Legros, 44795 Saint MauriceVille",au lever du jour
"un homme à la veste usée s’accroupit pour observer quelque chose au sol, l’air perplexe sans attirer l’attention dans un café du coin.",un homme à la veste usée,un café du coin,le Monday 18 September 2023 à 17h06
"Nul ne sut pourquoi une passante inconnue jeta un coup d’œil inquiet derrière lui, puis pressa le pas, le Tuesday 15 September 2015 à 23h14.",une passante inconnue,la gare centrale,le Tuesday 15 September 2015 à 23h14
"Nul ne sut pourquoi poussa un cri bref avant de disparaître entre deux voitures, le Wednesday 20 April 2016 à 02h38.",,"110, boulevard Collet, 86203 Saint Aurélie",le Wednesday 20 April 2016 à 02h38
Éric-Stéphane Bonnet s’effaça dans l’ombre d’un porche sans prononcer un mot.,Éric-Stéphane Bonnet,un parc désert,le Saturday 28 December 2019 à 17h43
