evenement,lieu,moment,individus,texte
émission d’un souffle chaud depuis une prise d’air,,dimanche,"Antoine Picard, une infirmière, un journaliste","Un incident non élucidé a été rapporté. La période de dimanche est mentionnée. Des témoignages font état de Antoine Picard, une infirmière, un journaliste."
sabotage d’un équipement public,Haute-Loire,4/06/2025,"un témoin, un passant, une connaissance, un policier, Chevalier","Un événement troublant a eu lieu. C’est dans les environs de Haute-Loire que les faits se sont produits. 4/06/2025 correspondrait à la période des faits. un témoin, un passant, une connaissance, un policier, Chevalier semble impliqué d’une manière ou d’une autre."
saccage d’un distributeur,Normandie,novembre,,Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent Normandie comme contexte géographique. Le déroulement aurait eu lieu à novembre.
fluctuation rapide de température ressentie,la cuisine,28 janvier de l’année 2014,"un habitant, le fiancé","Un fait divers a marqué les esprits. Les informations pointent vers la cuisine. Ce moment précis : 28 janvier de l’année 2014, revient souvent. un habitant, le fiancé figure dans les rapports initiaux."
inscription manuscrite fraîche sur une surface lisse,rue Paul Bert,11h51,"un suspect, le colocataire","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de rue Paul Bert. 11h51 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de un suspect, le colocataire est évoquée."
enclenchement d’un mécanisme d’urgence,"31 rue des Frênes, Sens",2h et 57 minutes,,"Un événement troublant a eu lieu. La scène s’est produite à 31 rue des Frênes, Sens. Le moment exact reste flou, mais cela remonterait à 2h et 57 minutes."
vol d’un deux-roues en stationnement,un bâtiment,13 décembre,,"Un acte de vol a été commis discrètement. On localise les faits dans la zone de un bâtiment. Les faits datent de 13 décembre, d'après certaines sources."
agression au poing américain,Martinique,le 9 décembre à 15h09,"Maxime Picard, une voisine, une technicienne","Un fait divers a marqué les esprits. Martinique serait le le point de départ de l'incident. On évoque le 9 décembre à 15h09 comme repère temporel. Maxime Picard, une voisine, une technicienne a été identifié comme partie prenante."
bruit de glissement horizontal d’un élément lourd,Martinique,19/01,"un ingénieur, un enseignant, Renard, Nina Gauthier, une amie, un médecin","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme Martinique. La période de 19/01 est mentionnée. Des témoignages font état de un ingénieur, un enseignant, Renard, Nina Gauthier, une amie, un médecin."
explosion d’un aérosol,menhir du grand champ,mardi 17 octobre 2023,quelqu’un,Un événement troublant a eu lieu. C’est dans les environs de menhir du grand champ que les faits se sont produits. mardi 17 octobre 2023 correspondrait à la période des faits. quelqu’un semble impliqué d’une manière ou d’une autre.
conflit entre cyclistes et piétons,cimetière ancien,10h et 41 minutes,,Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent cimetière ancien comme contexte géographique. Le déroulement aurait eu lieu à 10h et 41 minutes.
intrusion masquée dans une entreprise,Limousin,15h8,"un chauffeur de taxi, Emma, un suspect, la patronne","Un fait divers a marqué les esprits. Les informations pointent vers Limousin. Ce moment précis : 15h8, revient souvent. un chauffeur de taxi, Emma, un suspect, la patronne figure dans les rapports initiaux."
tensions dans une file d’attente,Vire,11,Chevalier,Un incident non élucidé a été rapporté. Tout se serait déroulé autour de la Vire. 11 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de Chevalier est évoquée.
buée intense sur un miroir froid,Pays de la Loire,le 31 décembre à 07h22,la femme de Julien,"Un événement troublant a eu lieu. La scène s’est produite à la Pays de la Loire. Le moment exact reste flou, mais cela remonterait à le 31 décembre à 07h22. la femme de Julien aurait été directement concerné."
éboulement de terre près d’un muret,Briançon,,"un tiers, Thomas, Camille Noël, une boulangère","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de Briançon. La présence de un tiers, Thomas, Camille Noël, une boulangère est signalée sur les lieux."
intrusion dans une zone protégée,"parc municipal, Beaune",12h28,,"Un fait divers a marqué les esprits. parc municipal, Beaune serait le le point de départ de l'incident. On évoque 12h28 comme repère temporel."
effondrement d’un étal de marché,Alpes-de-Haute-Provence,,"quelqu’un, un garagiste, une voisine, un visiteur","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme Alpes-de-Haute-Provence. Des témoignages font état de quelqu’un, un garagiste, une voisine, un visiteur."
propos méprisants lors d’un repas de famille,esplanade des droits de l’homme,2011/12/21,"Claire Picard, Thomas Dupont, Hugo Picard, Sophie Dupont","Des propos déplacés ont été entendus, créant un malaise. C’est dans les environs de esplanade des droits de l’homme que les faits se sont produits. 2011/12/21 correspondrait à la période des faits. Claire Picard, Thomas Dupont, Hugo Picard, Sophie Dupont semble impliqué d’une manière ou d’une autre."
contact électrique non mortel,"136 boulevard Lavoisier, Mayenne",le soir,"une vieille dame, un plombier, le neveu, un suspect, le colocataire","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent 136 boulevard Lavoisier, Mayenne comme contexte géographique. Le déroulement aurait eu lieu à le soir. La situation aurait impliqué une vieille dame, un plombier, le neveu, un suspect, le colocataire."
fuite d’eau provoquant une chute,Mayotte,,le collègue de travail,Une personne s’est volatilisée après les faits. Les informations pointent vers Mayotte. le collègue de travail figure dans les rapports initiaux.
refus catégorique d’un voisin d’éteindre la musique,square du souvenir,mardi 10 avril 2018,"un témoin, un chauffeur de taxi","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de square du souvenir. mardi 10 avril 2018 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de un témoin, un chauffeur de taxi est évoquée."
refus catégorique d’un voisin d’éteindre la musique,85076,10,,"Un événement troublant a eu lieu. La scène s’est produite à 85076. Le moment exact reste flou, mais cela remonterait à 10."
intervention d’un tiers pour séparer deux personnes,Guyane,,Emma,Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de Guyane. La présence de Emma est signalée sur les lieux.
vol de téléphone portable dans les transports,Digne-les-Bains,5/12/2002,un plombier,Une disparition suspecte de biens a été signalée. Digne-les-Bains serait le le point de départ de l'incident. On évoque 5/12/2002 comme repère temporel. un plombier a été identifié comme partie prenante.
plainte orale à propos d’odeurs de cuisine,"19 boulevard Paul Bert, Louviers",11 juin 2025,"une vieille dame, une amie, Thomas, un voisin, Lemoine","Des mots durs ont fusé, choquant plusieurs personnes. Le lieu de l’incident a été identifié comme 19 boulevard Paul Bert, Louviers. La période de 11 juin 2025 est mentionnée. Des témoignages font état de une vieille dame, une amie, Thomas, un voisin, Lemoine."
bagarre impliquant plusieurs individus,chapelle des pénitents,,Julien Chevalier,Un affrontement physique a éclaté. C’est dans les environs de chapelle des pénitents que les faits se sont produits. Julien Chevalier semble impliqué d’une manière ou d’une autre.
refus catégorique d’un voisin d’éteindre la musique,terrain de pétanque,29/07/2013,"Moreau, Lemoine","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent terrain de pétanque comme contexte géographique. Le déroulement aurait eu lieu à 29/07/2013. La situation aurait impliqué Moreau, Lemoine."
petite flamme visible à travers une ouverture,30552,17 novembre de l’année 2023,"un garagiste, une femme","Un fait divers a marqué les esprits. Les informations pointent vers 30552. Ce moment précis : 17 novembre de l’année 2023, revient souvent. un garagiste, une femme figure dans les rapports initiaux."
décharge sauvage d’objets tranchants,une grange,juillet,"un passant, un notaire, une connaissance","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de une grange. juillet : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de un passant, un notaire, une connaissance est évoquée."
cambriolage en réunion,"121 chemin des Acacias, Morlaix",19 oct. 2018,"Emma, un homme, Pires","Un événement troublant a eu lieu. La scène s’est produite à 121 chemin des Acacias, Morlaix. Le moment exact reste flou, mais cela remonterait à 19 oct. 2018. Emma, un homme, Pires aurait été directement concerné."
lancer de projectiles,"191 rue des Frênes, Louviers",19 mai 2015,,"Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 191 rue des Frênes, Louviers. Les faits datent de 19 mai 2015, d'après certaines sources."
choc entre deux poussettes,Mayotte,2h et 57 minutes,"un enseignant, une amie","Un fait divers a marqué les esprits. Mayotte serait le le point de départ de l'incident. On évoque 2h et 57 minutes comme repère temporel. un enseignant, une amie a été identifié comme partie prenante."
mouvement d’un objet sans cause mécanique,"137 avenue Pasteur, Pontarlier",le 16/09/2019 à 05h26,"un passant, un voisin, un journaliste, le fiancé","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme 137 avenue Pasteur, Pontarlier. La période de le 16/09/2019 à 05h26 est mentionnée. Des témoignages font état de un passant, un voisin, un journaliste, le fiancé."
torsion visible sur une grille de protection,Nevers,18/08/2024,"une connaissance, Hugo, une voisine, Léa Lemoine","Un événement troublant a eu lieu. C’est dans les environs de Nevers que les faits se sont produits. 18/08/2024 correspondrait à la période des faits. une connaissance, Hugo, une voisine, Léa Lemoine semble impliqué d’une manière ou d’une autre."
échange d’invectives à l’arrêt de bus,Provence-Alpes-Côte d'Azur,,"un policier, un médecin, Nathan Hubert","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent Provence-Alpes-Côte d'Azur comme contexte géographique. La situation aurait impliqué un policier, un médecin, Nathan Hubert."
odeur de solvants émanant d’un conduit obstrué,Provence-Alpes-Côte d'Azur,,"un chauffeur de taxi, un voisin, quelqu’un, un habitant, une pharmacienne, le collègue de travail","Un fait divers a marqué les esprits. Les informations pointent vers Provence-Alpes-Côte d'Azur. un chauffeur de taxi, un voisin, quelqu’un, un habitant, une pharmacienne, le collègue de travail figure dans les rapports initiaux."
bruit de chaîne traînée sur le sol,"130 chemin Paul Bert, Beaune",dimanche 11 août 2019,"un ingénieur, un inconnu, la patronne","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de 130 chemin Paul Bert, Beaune. dimanche 11 août 2019 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de un ingénieur, un inconnu, la patronne est évoquée."
accumulation de sable sur un revêtement dur,"rue Gambetta, Saint-Paul",octobre 2021,"un ami, quelqu’un, Maxime Fontaine, un jeune homme","Un événement troublant a eu lieu. La scène s’est produite à rue Gambetta, Saint-Paul. Le moment exact reste flou, mais cela remonterait à octobre 2021. un ami, quelqu’un, Maxime Fontaine, un jeune homme aurait été directement concerné."
prise à partie d’un client par un commerçant,85136,16 août de l’année 2025,"une technicienne, le collègue de travail","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 85136. Les faits datent de 16 août de l’année 2025, d'après certaines sources. La présence de une technicienne, le collègue de travail est signalée sur les lieux."
électrocution mineure avec multiprise,"136 chemin des Écoles, Sarlat",,"Marie, Picard, une personne, le collègue de travail","Un fait divers a marqué les esprits. 136 chemin des Écoles, Sarlat serait le le point de départ de l'incident. Marie, Picard, une personne, le collègue de travail a été identifié comme partie prenante."
rotation lente d’un axe sans assistance,Nouvelle-Aquitaine,le 19/02/2005 à 05h49,,Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme Nouvelle-Aquitaine. La période de le 19/02/2005 à 05h49 est mentionnée.
insultes échangées sur la voie publique,Seine-et-Marne,février,"Girard, un menuisier, le colocataire","Un événement troublant a eu lieu. C’est dans les environs de Seine-et-Marne que les faits se sont produits. février correspondrait à la période des faits. Girard, un menuisier, le colocataire semble impliqué d’une manière ou d’une autre."
jets de pierres sur vitrine,Sète,,"un individu, une amie, un client","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent Sète comme contexte géographique. La situation aurait impliqué un individu, une amie, un client."
vibration continue dans un angle de pièce,colonne commémorative,22h39,,"Un fait divers a marqué les esprits. Les informations pointent vers colonne commémorative. Ce moment précis : 22h39, revient souvent."
claquage musculaire en montant les escaliers,Mayenne,,"Gabriel, un passant","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de la Mayenne. Une implication possible de Gabriel, un passant est évoquée."
frottement métallique dans un rail,6399,11 déc. 2010,,"Un événement troublant a eu lieu. La scène s’est produite à 06399. Le moment exact reste flou, mais cela remonterait à 11 déc. 2010."
odeur d’ozone perceptible dans un espace fermé,Maine-et-Loire,25 novembre,"Moreau, Claire","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de Maine-et-Loire. Les faits datent de 25 novembre, d'après certaines sources. La présence de Moreau, Claire est signalée sur les lieux."
conflit entre automobilistes,Nouvelle-Aquitaine,9h56,"un menuisier, Girard","Un fait divers a marqué les esprits. Nouvelle-Aquitaine serait le le point de départ de l'incident. On évoque 9h56 comme repère temporel. un menuisier, Girard a été identifié comme partie prenante."
résonance anormale d’un objet suspendu,"chemin des Acacias, Millau",30/12,,"Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme chemin des Acacias, Millau. La période de 30/12 est mentionnée."
regard jugé provocateur entraînant une dispute,"jardin public, Saint-Paul",19 juin,"Zoé Gauthier, Zoé","Un événement troublant a eu lieu. C’est dans les environs de jardin public, Saint-Paul que les faits se sont produits. 19 juin correspondrait à la période des faits. Zoé Gauthier, Zoé semble impliqué d’une manière ou d’une autre."
conflit familial audible dans une cage d’escalier,boulevard de l’Égalité,,un enseignant,Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent boulevard de l’Égalité comme contexte géographique. La situation aurait impliqué un enseignant.
intrusion masquée dans une entreprise,statue de Jeanne d’Arc,2023/07/7,"un suspect, un voisin, un plombier, un facteur, le mari de Marie, le colocataire","Un fait divers a marqué les esprits. Les informations pointent vers statue de Jeanne d’Arc. Ce moment précis : 2023/07/7, revient souvent. un suspect, un voisin, un plombier, un facteur, le mari de Marie, le colocataire figure dans les rapports initiaux."
vibration continue dans un angle de pièce,"cimetière ancien, Thiers",2016/09/5,,"Un incident non élucidé a été rapporté. Tout se serait déroulé autour de cimetière ancien, Thiers. 2016/09/5 : c’est ce qu’indiquent plusieurs témoignages."
dégradation volontaire d’un véhicule,Pays de la Loire,1h15,un employé de mairie,"Des objets ont mystérieusement disparu. La scène s’est produite à la Pays de la Loire. Le moment exact reste flou, mais cela remonterait à 1h15. un employé de mairie aurait été directement concerné."
vente illicite de médicaments,Eure-et-Loir,,,Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de Eure-et-Loir.
jets de projectiles sur policiers,"148 impasse de la Liberté, Millau",,"un avocat, le neveu, un homme, la sœur","Un fait divers a marqué les esprits. 148 impasse de la Liberté, Millau serait le le point de départ de l'incident. un avocat, le neveu, un homme, la sœur a été identifié comme partie prenante."
bris de vitrine,"174 avenue Paul Bert, Chaumont",le 21 janvier à 20h20,Julien,"Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme 174 avenue Paul Bert, Chaumont. La période de le 21 janvier à 20h20 est mentionnée. Des témoignages font état de Julien."
jets de projectiles sur policiers,"185 chemin Pasteur, Argentan",vendredi,un témoin,"Un événement troublant a eu lieu. C’est dans les environs de 185 chemin Pasteur, Argentan que les faits se sont produits. vendredi correspondrait à la période des faits. un témoin semble impliqué d’une manière ou d’une autre."
chute d’un panneau de signalisation,un atelier,2012,,Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent un atelier comme contexte géographique. Le déroulement aurait eu lieu à 2012.
friction sèche entre deux surfaces dures,Seine-Maritime,mardi 10 avril 2018,Thomas,"Un fait divers a marqué les esprits. Les informations pointent vers Seine-Maritime. Ce moment précis : mardi 10 avril 2018, revient souvent. Thomas figure dans les rapports initiaux."
trace de friction sur une poignée,boulevard des Peupliers,,"un douanier, le collègue de travail, Julien","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de boulevard des Peupliers. Une implication possible de un douanier, le collègue de travail, Julien est évoquée."
récrimination insistante lors d’un paiement,"2 avenue du Général Leclerc, Beaune",30/09,le frère,"Un événement troublant a eu lieu. La scène s’est produite à 2 avenue du Général Leclerc, Beaune. Le moment exact reste flou, mais cela remonterait à 30/09. le frère aurait été directement concerné."
dispute de couple sur la voie publique,menhir du grand champ,mercredi,,"Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de menhir du grand champ. Les faits datent de mercredi, d'après certaines sources."
voiture incendiée volontairement,colonne commémorative,,Marie Renard,Une disparition suspecte de biens a été signalée. colonne commémorative serait le le point de départ de l'incident. Marie Renard a été identifié comme partie prenante.
dégradation volontaire d’un véhicule,"96 avenue des Lilas, Mayenne",04/2009,,"Une effraction semble avoir été perpétrée. Le lieu de l’incident a été identifié comme 96 avenue des Lilas, Mayenne. La période de 04/2009 est mentionnée."
interférence sur une fréquence radio locale,"avenue des Sources, Millau",vendredi,,"Un événement troublant a eu lieu. C’est dans les environs de avenue des Sources, Millau que les faits se sont produits. vendredi correspondrait à la période des faits."
battement d’un volet non exposé au vent,Lourdes,,"une juge, une amie, un passant","Un acte de vol a été commis discrètement. Plusieurs sources mentionnent Lourdes comme contexte géographique. La situation aurait impliqué une juge, une amie, un passant."
jet de liquide corrosif,Beaune,,,Un fait divers a marqué les esprits. Les informations pointent vers Beaune.
désaccord vif lors d’une sortie scolaire,90783,mardi 10 avril 2018,,Un incident non élucidé a été rapporté. Tout se serait déroulé autour de 90783. mardi 10 avril 2018 : c’est ce qu’indiquent plusieurs témoignages.
présence d’un extincteur déplacé,parc municipal,,,Un événement troublant a eu lieu. La scène s’est produite à parc municipal.
outrage à magistrat,Forbach,le 6 septembre à 11h58,"Hubert, une femme","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de Forbach. Les faits datent de le 6 septembre à 11h58, d'après certaines sources. La présence de Hubert, une femme est signalée sur les lieux."
fuite d’eau provoquant une chute,abbaye Saint-Pierre,le 14 mai à 20h20,,Une personne s’est volatilisée après les faits. abbaye Saint-Pierre serait le le point de départ de l'incident. On évoque le 14 mai à 20h20 comme repère temporel.
diffusion de musique à volume excessif,"menhir du grand champ, Cavaillon",28 juin de l’année 2017,"un voisin, un chauffeur de taxi","Une effraction semble avoir été perpétrée. Le lieu de l’incident a été identifié comme menhir du grand champ, Cavaillon. La période de 28 juin de l’année 2017 est mentionnée. Des témoignages font état de un voisin, un chauffeur de taxi."
pulsation lumineuse irrégulière d’un témoin,fontaine aux lions,3/11/2005,"le collègue de travail, un passant, un voisin","Un événement troublant a eu lieu. C’est dans les environs de fontaine aux lions que les faits se sont produits. 3/11/2005 correspondrait à la période des faits. le collègue de travail, un passant, un voisin semble impliqué d’une manière ou d’une autre."
prise à partie au sujet d’une caméra de surveillance,Brive-la-Gaillarde,vers l’heure du dîner,"Nathan Adam, un témoin, un chauffeur de taxi, un ingénieur, un inconnu, la patronne, un menuisier","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent Brive-la-Gaillarde comme contexte géographique. Le déroulement aurait eu lieu à vers l’heure du dîner. La situation aurait impliqué Nathan Adam, un témoin, un chauffeur de taxi, un ingénieur, un inconnu, la patronne, un menuisier."
intrusion dans une zone protégée,"45 chemin des Frênes, Chinon",,la femme de Julien,"Un fait divers a marqué les esprits. Les informations pointent vers 45 chemin des Frênes, Chinon. la femme de Julien figure dans les rapports initiaux."
appel anonyme menaçant,Louhans,,"un avocat, la cousine","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de la Louhans. Une implication possible de un avocat, la cousine est évoquée."
dépôt blanchâtre au pied d’un mur,,,un journaliste,Un événement troublant a eu lieu. un journaliste aurait été directement concerné.
émanation d'une odeur chimique,"142 rue Paul Bert, Beaune",05/2014,,"Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 142 rue Paul Bert, Beaune. Les faits datent de 05/2014, d'après certaines sources."
chute d’échafaudage léger,centre culturel,11,"Picard, la cousine, le collègue de travail","Un fait divers a marqué les esprits. centre culturel serait le le point de départ de l'incident. On évoque 11 comme repère temporel. Picard, la cousine, le collègue de travail a été identifié comme partie prenante."
effondrement partiel d’un plafond,"boulevard de l’Égalité, Brignoles",8 février 2016,,"Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme boulevard de l’Égalité, Brignoles. La période de 8 février 2016 est mentionnée."
tensions dans une file d’attente,"155 avenue du Maréchal Foch, Vierzon",octobre 2021,"un garagiste, un jeune homme, une amie, Picard","Un événement troublant a eu lieu. C’est dans les environs de 155 avenue du Maréchal Foch, Vierzon que les faits se sont produits. octobre 2021 correspondrait à la période des faits. un garagiste, un jeune homme, une amie, Picard semble impliqué d’une manière ou d’une autre."
violence sur agent public,"mairie, Chaumont",,"un facteur, Marie Marchand","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent mairie, Chaumont comme contexte géographique. La situation aurait impliqué un facteur, Marie Marchand."
usage d’une fausse carte d’identité,"47 impasse des Acacias, Mayenne",,le colocataire,"Un fait divers a marqué les esprits. Les informations pointent vers 47 impasse des Acacias, Mayenne. le colocataire figure dans les rapports initiaux."
déplacement latéral non autorisé d’une paroi,Eure-et-Loir,,"un facteur, le neveu, Julien, Barbier, un visiteur, le neveu, Claire","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de la Eure-et-Loir. Une implication possible de un facteur, le neveu, Julien, Barbier, un visiteur, le neveu, Claire est évoquée."
tension entre colocataires signalée,"87 impasse du Général Leclerc, Chaumont",2025,,"Un événement troublant a eu lieu. La scène s’est produite à 87 impasse du Général Leclerc, Chaumont. Le moment exact reste flou, mais cela remonterait à 2025."
décrochage d’un panneau suspendu,esplanade des droits de l’homme,samedi,"Moreau, un voisin, un agent immobilier, Léa Fabre, un facteur","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de esplanade des droits de l’homme. Les faits datent de samedi, d'après certaines sources. La présence de Moreau, un voisin, un agent immobilier, Léa Fabre, un facteur est signalée sur les lieux."
déchirure volontaire d’une affiche,rue des Tilleuls,jeudi 26 janvier 2012,,Une disparition suspecte de biens a été signalée. rue des Tilleuls serait le le point de départ de l'incident. On évoque jeudi 26 janvier 2012 comme repère temporel.
heurt avec une barrière mobile,abbaye Saint-Pierre,05/2008,un tiers,Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme abbaye Saint-Pierre. La période de 05/2008 est mentionnée. Des témoignages font état de un tiers.
bruit sec suivi d’un silence prolongé,Limousin,,"Alice Girard, une femme, une voisine, un plombier, le mari de Marie, Moreau, un voisin","Un événement troublant a eu lieu. C’est dans les environs de Limousin que les faits se sont produits. Alice Girard, une femme, une voisine, un plombier, le mari de Marie, Moreau, un voisin semble impliqué d’une manière ou d’une autre."
altercation verbale dans un hall d’immeuble,Guadeloupe,16 mai 2017,un notaire,Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent Guadeloupe comme contexte géographique. Le déroulement aurait eu lieu à 16 mai 2017. La situation aurait impliqué un notaire.
violence sur agent public,pont médiéval,09h08,"Barbier, un avocat, le neveu, la femme de Julien, une voisine, un individu, le colocataire, un enseignant, une connaissance","Un fait divers a marqué les esprits. Les informations pointent vers pont médiéval. Ce moment précis : 09h08, revient souvent. Barbier, un avocat, le neveu, la femme de Julien, une voisine, un individu, le colocataire, un enseignant, une connaissance figure dans les rapports initiaux."
vibration continue dans un angle de pièce,19830,15h22,,Un incident non élucidé a été rapporté. Tout se serait déroulé autour de 19830. 15h22 : c’est ce qu’indiquent plusieurs témoignages.
disjonction silencieuse sur tableau électrique,"10 rue des Tilleuls, Lourdes",16 mai 2017,"un complice, un avocat, un jeune homme","Un événement troublant a eu lieu. La scène s’est produite à 10 rue des Tilleuls, Lourdes. Le moment exact reste flou, mais cela remonterait à 16 mai 2017. un complice, un avocat, un jeune homme aurait été directement concerné."
cliquetis intermittent entendu depuis un conduit,83203,,"un homme, le neveu, un notaire, un voisin","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 83203. La présence de un homme, le neveu, un notaire, un voisin est signalée sur les lieux."
condensation sur une vitre en pleine chaleur,impasse des Tilleuls,le 4 avril à 11h44,"un suspect, le colocataire, un plombier, une connaissance, Adam","Un fait divers a marqué les esprits. impasse des Tilleuls serait le le point de départ de l'incident. On évoque le 4 avril à 11h44 comme repère temporel. un suspect, le colocataire, un plombier, une connaissance, Adam a été identifié comme partie prenante."
désaccord autour d’un arbre gênant,"impasse des Lilas, Die",le 6 novembre à 19h40,"Camille, un client, la sœur, Marie Fabre, une technicienne","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme impasse des Lilas, Die. La période de le 6 novembre à 19h40 est mentionnée. Des témoignages font état de Camille, un client, la sœur, Marie Fabre, une technicienne."
présence d’un extincteur déplacé,Mayotte,20 août,,Un événement troublant a eu lieu. C’est dans les environs de Mayotte que les faits se sont produits. 20 août correspondrait à la période des faits.
dégradation de vidéosurveillance,Champagne-Ardenne,11/2025,"un complice, la cousine, un témoin, la sœur, Lucas Hubert, une technicienne","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent Champagne-Ardenne comme contexte géographique. Le déroulement aurait eu lieu à 11/2025. La situation aurait impliqué un complice, la cousine, un témoin, la sœur, Lucas Hubert, une technicienne."
lancer de projectiles,impasse des Peupliers,26 juin de l’année 2012,"Emma, un journaliste, un ingénieur, le mari de Marie, le frère, un agent immobilier, un ami","Un fait divers a marqué les esprits. Les informations pointent vers impasse des Peupliers. Ce moment précis : 26 juin de l’année 2012, revient souvent. Emma, un journaliste, un ingénieur, le mari de Marie, le frère, un agent immobilier, un ami figure dans les rapports initiaux."
conflit autour d’une poussette sur trottoir,avenue de la République,,,Un incident non élucidé a été rapporté. Tout se serait déroulé autour de avenue de la République.
menaces verbales en pleine rue,"chemin Gambetta, Vire",10/2023,"Antoine Pires, un suspect, la patronne","Un événement troublant a eu lieu. La scène s’est produite à chemin Gambetta, Vire. Le moment exact reste flou, mais cela remonterait à 10/2023. Antoine Pires, un suspect, la patronne aurait été directement concerné."
trace d’humidité autour d’un boîtier électrique,55602,,"un inconnu, un journaliste, un garagiste","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 55602. La présence de un inconnu, un journaliste, un garagiste est signalée sur les lieux."
électrocution mineure avec multiprise,"121 rue Lavoisier, Brignoles",04/2023,Claire Renard,"Un fait divers a marqué les esprits. 121 rue Lavoisier, Brignoles serait le le point de départ de l'incident. On évoque 04/2023 comme repère temporel. Claire Renard a été identifié comme partie prenante."
blessure avec un outil de bricolage,"chemin du Général Leclerc, Lourdes",le 15/10/2004 à 03h03,"un suspect, un voisin, un plombier, un facteur, le mari de Marie, le colocataire","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme chemin du Général Leclerc, Lourdes. La période de le 15/10/2004 à 03h03 est mentionnée. Des témoignages font état de un suspect, un voisin, un plombier, un facteur, le mari de Marie, le colocataire."
claquement de portière en pleine nuit,Nouvelle-Aquitaine,,,Un événement troublant a eu lieu. C’est dans les environs de Nouvelle-Aquitaine que les faits se sont produits.
faux témoignage délibéré,91257,,"un journaliste, le fiancé, Gabriel","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent 91257 comme contexte géographique. La situation aurait impliqué un journaliste, le fiancé, Gabriel."
cloche retentissant brièvement sans raison connue,le sous-sol,11,"Barbier, un avocat, le neveu, la femme de Julien, une voisine, un individu, le colocataire, un enseignant, une connaissance","Un fait divers a marqué les esprits. Les informations pointent vers le sous-sol. Ce moment précis : 11, revient souvent. Barbier, un avocat, le neveu, la femme de Julien, une voisine, un individu, le colocataire, un enseignant, une connaissance figure dans les rapports initiaux."
bris de vitrine,statue de Jeanne d’Arc,février,"Antoine Picard, une infirmière, un journaliste","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de statue de Jeanne d’Arc. février : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de Antoine Picard, une infirmière, un journaliste est évoquée."
intimidation dans un parking souterrain,"avenue de l’Égalité, Briançon",18/08/2024,Claire,"Un événement troublant a eu lieu. La scène s’est produite à avenue de l’Égalité, Briançon. Le moment exact reste flou, mais cela remonterait à 18/08/2024. Claire aurait été directement concerné."
frottement métallique dans un rail,impasse des Lilas,,le collègue de travail,Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de impasse des Lilas. La présence de le collègue de travail est signalée sur les lieux.
